image_path,label,show_label,thisN,thisTrialN,thisRepN,emotion_rating.response,emotion_rating.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,label_text.started,stim_image.started,label_text.stopped,emotion_rating.started,stim_image.stopped,trial.stopped,trials.emotion_rating.response,trials.emotion_rating.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\360_F_268212419_ZBJvlgVezhjziaP9aynnMGMLOvjUgNG5.jpg,Ten piesek jest smutny,1,0,0,0,1.6083333333333334,3.2211904999967373,0,0,0,0,0.11207240000294405,,False,0.10757680000097025,0.11207240000294405,1.0153201000030094,1.1156599000023562,2.013206800002081,2.029222799999843,3.342859000000317,1.6083333333333334,3.2211904999967373,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\dachshund-8910099_640.jpg,Ten piesek jest wesoły,0,1,1,0,4.383333333333333,3.0906180999991193,0,1,1,1,3.365644000001339,,,3.3615753000012774,3.365644000001339,4.356835599999613,4.373436200003198,5.353442700001324,5.369811800002935,6.467993100002786,4.383333333333333,3.0906180999991193,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,Ten piesek jest smutny,0,2,2,0,1.2833333333333334,3.32843949999733,0,2,2,2,6.4864376000004995,,,6.4814318000026105,6.4864376000004995,7.48102910000307,7.497841200001858,8.478545500001928,8.494984700002533,9.824659800000518,1.2833333333333334,3.32843949999733,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (1).jpg,Ten piesek jest smutny,1,3,3,0,4.633333333333333,3.3373740000024554,0,3,3,3,9.841244500003086,,,9.829224400000385,9.841244500003086,10.838904700001876,10.8552402000023,11.835719800001243,11.852531000000454,13.182593100002123,4.633333333333333,3.3373740000024554,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (2).jpg,Ten piesek jest wesoły,1,4,4,0,4.6,3.700340100000176,0,4,4,4,13.198816800002533,,,13.190078100000392,13.198816800002533,14.196504400002596,14.212672000001476,15.193288300000859,15.209411900003033,16.90531390000251,4.6,3.700340100000176,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (3).jpg,Ten piesek jest smutny,1,5,5,0,1.5583333333333333,3.2864558000001125,0,5,5,5,16.921970400002465,,,16.91184870000143,16.921970400002465,17.91921580000053,17.936082800002623,18.916486000001896,18.932720200002223,20.213025000000926,1.5583333333333333,3.2864558000001125,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (4).jpg,Ten piesek jest smutny,0,6,6,0,4.391666666666667,3.170786800001224,0,6,6,6,20.22969010000088,,,20.217515700001968,20.22969010000088,21.226883700001054,21.243633100002626,22.22347190000073,22.240128900000855,23.404668000002857,4.391666666666667,3.170786800001224,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (5).jpg,Ten piesek jest wesoły,1,7,7,0,1.4833333333333334,3.0354470999991463,0,7,7,7,23.421012099999643,,,23.411492800001724,23.421012099999643,24.418757200000982,24.434761500000604,25.415328700000828,25.43204130000231,26.462945300001593,1.4833333333333334,3.0354470999991463,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (6).jpg,Ten piesek jest smutny,1,8,8,0,4.566666666666666,2.9198405999995884,0,8,8,8,26.479106500002672,,,26.469481899999664,26.479106500002672,27.476846900000965,27.49343620000218,28.4748983999998,28.49107080000249,29.404974799999763,4.566666666666666,2.9198405999995884,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images.jpg,Ten piesek jest smutny,0,9,9,0,1.675,3.9348609000007855,0,9,9,9,29.420990500002517,,,29.410418200001004,29.420990500002517,30.418939400002273,30.435235900000407,31.415466800001013,31.431980600002134,33.36122770000293,1.675,3.9348609000007855,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\istockphoto-1328935360-612x612.jpg,Ten piesek jest wesoły,1,10,10,0,4.625,3.1284726000012597,0,10,10,10,33.37847160000092,,,33.374130400003196,33.37847160000092,34.37425510000321,34.391052599999966,35.37111139999979,35.388141900002665,36.51914130000296,4.625,3.1284726000012597,363886,001,2026-04-18_23h49.46.816,untitled,,2026.1.1,60.1982086216191,2026-04-18 23h49.47.360317 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\pexels-svetozar-milashevich-99573-1490908.jpg,Ten piesek jest smutny,0,11,11,0,,,0,11,11,11,37.079127799999696,,,37.059365799999796,37.079127799999696,37.53390500000023,38.08230200000253,38.532890400001634,38.5460129000021,,,,,,,,,,,,
